Document group,Document name,Code,Segment,Memos,Comment,Other codes assigned to segment
WPRO,Australia. South Australia. Health-Extreme-Heat-Heatwave-Strategy-2023 [updated from version on GHHIN website],Search term > wellbeing,wellbeing, ,,Vulnerable communities (Weight: 0)
WPRO,Australia. South Australia. Health-Extreme-Heat-Heatwave-Strategy-2023 [updated from version on GHHIN website],General Interventions ,"Disaster Management Branch (DMB) 
Before, during and after an extreme heat or heatwave event, the Disaster Management Branch (DMB) will: 
 Act as the sole representative for SA Health for state level arrangements in relation to Extreme 
Heat and heatwave, including attendance at the State Emergency Centre (SEC) as required and liaison with the Control Agency for Heat (SASES). 
 Manage and review the Extreme Heat and Heatwaves Strategy for SA Health. 
 Raise awareness of the health impacts of heat and heatwaves, and the SA Health Extreme Heat and Heatwaves Strategy, as subject matter experts, during annual seasonal preparedness. 
 Coordinate and produce heat related information for workforce and community education, including fact sheets, web content for staying healthy in the heat, and the printed Healthy in the Heat booklet. 
 Coordinate membership of the SA Health Heatwave email distribution list (DL:Health heatwave) for all relevant SA Health staff for use by SASES for SA government heatwave and warning messaging. 
 Produce and/or distribute intelligence reports or situational reports, regarding Heatwaves from relevant state and national emergency management sources in a timely manner. 
 Provide ongoing liaison with other emergency services and government agencies, particularly SASES. 
 Coordinate any SA Health debriefs of the incident including all relevant stakeholders once the extreme heat event has concluded. 
Phased approach 
Before, during and after a heatwave SA Health will follow these disaster management phases – recognised nationally and within the State Emergency Management Plan (SEMP): 
Phase Stage Activities Equivalent 
SEMP phase 
Prevention Prevention  Review SA Health Extreme Heat and Heatwave 
Strategy 
 Incorporate any lessons learned from research evidence and/or previous events 
Prevention 
Preparedness Preparedness  No heatwave detected (or lead up to summer hot 
season) 
 Raise awareness of heat and heatwaves, through 
workforce education, communication material and seasonal preparedness 
 Identify established and informal networks for 
connecting and engaging with vulnerable groups, including Aboriginal and Torres Strait Islanders and culturally and linguistically diverse (CALD) groups 
 Reduce the risk through mitigating heatwave effects (health system planning and exercising plans; community education through online heat information and Healthy in the Heat booklet) Preparedness SA Health Extreme Heat and Heatwave Strategy 10 
OFFICIAL 
Phase Stage Activities Equivalent 
SEMP phase 
Response Standby  Intelligence from SASES / Bureau of Meteorology 
about future weather projections 
 Surveillance and early warning / public messaging from SASES 
 Provide key heat health messages through social media 
 SASES Community Readiness Alert may be issued to prepare the community when a significant heatwave event is on the horizon Alert Lean forward 
 Action Three stages: 
 Low Intensity advice warning issued by SASES 
 Severe Heat - Watch and Act warning issued by SASES 
 Extreme Heatwave - Emergency warning issued by SASES 
 Support the Control Agency (SASES) to respond to 
any disaster event and state emergency activation 
 Promulgate Control Agency (SASES) community 
messaging through SA Health social media and other communication channels 
 Provide consistent public health heat messages 
through SA Health social media; and during client visits, or through telephone calls or message alerts Stand up 
Stand down  Heatwave advice – reduced threat issued by SASES 
 Heatwave has passed, and post heatwave presentations have ceased 
Stand down 
Recovery Recovery  Support to those affected by a heatwave to achieve 
a proper and effective level of functioning 
 Debrief and evaluate actions taken during 
heatwaves, and include any lessons in future reviews of the SA Health Extreme Heat and 
Heatwave Strategy ", ,,
WPRO,Australia. South Australia. Health-Extreme-Heat-Heatwave-Strategy-2023 [updated from version on GHHIN website],Search term > wellbeing,wellbeing, ,,
WPRO,Australia. South Australia. Health-Extreme-Heat-Heatwave-Strategy-2023 [updated from version on GHHIN website],Search term > wellbeing,wellbeing, ,,
WPRO,Australia. South Australia. Health-Extreme-Heat-Heatwave-Strategy-2023 [updated from version on GHHIN website],Mental Health Interventions or Plans,"Consideration for people using mental health services 
Information in this section is in accordance with established Mental Health Clinical Program policy, including the CALHN Extreme Heat Management for Mental Health Consumers Procedure. SA Health Extreme Heat and Heatwave Strategy 21 
OFFICIAL 
Vulnerability to heat stress and heat exhaustion in extreme heat conditions is more likely when there is a diagnosis of mental illness. As such a lower activation threshold is attributed to people registered to mental health services. Vulnerability may be exacerbated by: 
 Medication prescribed for mental and physical illness,  Other co-morbidities, and 
 Living/environmental conditions. 
The principles outlined support people accessing SA Health Mental Health Services receive a heat vulnerability assessment and information on how to manage in extreme heat. In addition, if a person is assessed as vulnerable, they will receive increased monitoring during an extreme heat event to reduce the risk of harmful effects of extreme heat. Activation of monitoring, for mental health services will begin on day three of a low intensity heatwave, lasting five days or more, and on day one of a severe or extreme heatwave lasting three days or more. 
Each LHN is responsible for ensuring that arrangements to support people accessing mental health services are developed and that they are in alignment with and supportive of this document. 
Mental Health teams within all LHNs have a sound understanding of people experiencing mental health distress and a key part of the initial assessment and ongoing clinical relationship is to ensure that the person and any relevant risk factors are known and understood by the respective clinical teams. 
It is agreed and acknowledged that the following principles accurately reflect the key operational strategies for mental health teams during extreme heat events: 
 Mental Health executive staff in LHNs will receive notification via the Heatwave distribution list (DL) notification process 
 Heatwave Watch and Act Warning - event actions are determined by the LHN extreme heat plan including the determination to stand down an activation, if required. 
 Heatwave Emergency Warning - event actions are determined by the LHN extreme heat plan and State Command will advise when a reduced threat has been issued by SASES. 
 The welfare of people accessing mental health services is of priority and the LHN mental health clinicians / teams will ensure that ongoing, dynamic assessments are undertaken in relation to people and their welfare during extreme heat events. 
To support the above, people registered to mental health services will have a heat vulnerability assessment conducted by Mental Health Services staff using the Heat Vulnerability Assessment Tool (HVAT) on CBIS/CCCME. If assessed as vulnerable, then a heat vulnerability alert must be registered on CBIS/CCCME. All people registered to mental health services will also be provided with a written information package on managing health during extreme heat events. 
It is the mental health services responsibility to ensure identified vulnerable people are contacted during an extreme heat activation. If a person accessing mental health services is assessed as vulnerable and requires contact, mental health staff will register the person within local structures to ensure that they are contacted. 
A Mental Health Service Clinician Heatwave Checklist is included for information purposes see Appendix 6.", ,,"Search term > distress (Weight: 0)
Search term > mental (Weight: 0)
Search term > mental health  (Weight: 0)
Risk factors > Pre-existing mental illness (Weight: 0)
Risk factors > Medications (Weight: 0)
Mental Health Interventions or Plans > Healthcare Sector (Weight: 0)"
WPRO,Australia. South Australia. Health-Extreme-Heat-Heatwave-Strategy-2023 [updated from version on GHHIN website],Mental Health Interventions or Plans > Healthcare Sector,"Consideration for people using mental health services 
Information in this section is in accordance with established Mental Health Clinical Program policy, including the CALHN Extreme Heat Management for Mental Health Consumers Procedure. SA Health Extreme Heat and Heatwave Strategy 21 
OFFICIAL 
Vulnerability to heat stress and heat exhaustion in extreme heat conditions is more likely when there is a diagnosis of mental illness. As such a lower activation threshold is attributed to people registered to mental health services. Vulnerability may be exacerbated by: 
 Medication prescribed for mental and physical illness,  Other co-morbidities, and 
 Living/environmental conditions. 
The principles outlined support people accessing SA Health Mental Health Services receive a heat vulnerability assessment and information on how to manage in extreme heat. In addition, if a person is assessed as vulnerable, they will receive increased monitoring during an extreme heat event to reduce the risk of harmful effects of extreme heat. Activation of monitoring, for mental health services will begin on day three of a low intensity heatwave, lasting five days or more, and on day one of a severe or extreme heatwave lasting three days or more. 
Each LHN is responsible for ensuring that arrangements to support people accessing mental health services are developed and that they are in alignment with and supportive of this document. 
Mental Health teams within all LHNs have a sound understanding of people experiencing mental health distress and a key part of the initial assessment and ongoing clinical relationship is to ensure that the person and any relevant risk factors are known and understood by the respective clinical teams. 
It is agreed and acknowledged that the following principles accurately reflect the key operational strategies for mental health teams during extreme heat events: 
 Mental Health executive staff in LHNs will receive notification via the Heatwave distribution list (DL) notification process 
 Heatwave Watch and Act Warning - event actions are determined by the LHN extreme heat plan including the determination to stand down an activation, if required. 
 Heatwave Emergency Warning - event actions are determined by the LHN extreme heat plan and State Command will advise when a reduced threat has been issued by SASES. 
 The welfare of people accessing mental health services is of priority and the LHN mental health clinicians / teams will ensure that ongoing, dynamic assessments are undertaken in relation to people and their welfare during extreme heat events. 
To support the above, people registered to mental health services will have a heat vulnerability assessment conducted by Mental Health Services staff using the Heat Vulnerability Assessment Tool (HVAT) on CBIS/CCCME. If assessed as vulnerable, then a heat vulnerability alert must be registered on CBIS/CCCME. All people registered to mental health services will also be provided with a written information package on managing health during extreme heat events. 
It is the mental health services responsibility to ensure identified vulnerable people are contacted during an extreme heat activation. If a person accessing mental health services is assessed as vulnerable and requires contact, mental health staff will register the person within local structures to ensure that they are contacted. 
A Mental Health Service Clinician Heatwave Checklist is included for information purposes see Appendix 6.", ,,"Search term > distress (Weight: 0)
Search term > mental (Weight: 0)
Search term > mental health  (Weight: 0)
Risk factors > Pre-existing mental illness (Weight: 0)
Risk factors > Medications (Weight: 0)
Mental Health Interventions or Plans (Weight: 0)"
WPRO,Australia. South Australia. Health-Extreme-Heat-Heatwave-Strategy-2023 [updated from version on GHHIN website],Search term > mental health ,mental health, ,,"Mental Health Interventions or Plans (Weight: 0)
Mental Health Interventions or Plans > Healthcare Sector (Weight: 0)"
WPRO,Australia. South Australia. Health-Extreme-Heat-Heatwave-Strategy-2023 [updated from version on GHHIN website],Search term > mental health ,Mental Health, ,,"Mental Health Interventions or Plans (Weight: 0)
Mental Health Interventions or Plans > Healthcare Sector (Weight: 0)"
WPRO,Australia. South Australia. Health-Extreme-Heat-Heatwave-Strategy-2023 [updated from version on GHHIN website],Risk factors > Pre-existing mental illness,"Vulnerability to heat stress and heat exhaustion in extreme heat conditions is more likely when there is a diagnosis of mental illness. As such a lower activation threshold is attributed to people registered to mental health services. Vulnerability may be exacerbated by: 
 Medication prescribed for mental and physical illness,  Other co-morbidities, and 
 Living/environmental conditions.", ,,"Search term > mental (Weight: 0)
Search term > mental health  (Weight: 0)
Risk factors > Medications (Weight: 0)
Mental Health Interventions or Plans (Weight: 0)
Mental Health Interventions or Plans > Healthcare Sector (Weight: 0)"
WPRO,Australia. South Australia. Health-Extreme-Heat-Heatwave-Strategy-2023 [updated from version on GHHIN website],Risk factors > Medications,"Vulnerability to heat stress and heat exhaustion in extreme heat conditions is more likely when there is a diagnosis of mental illness. As such a lower activation threshold is attributed to people registered to mental health services. Vulnerability may be exacerbated by: 
 Medication prescribed for mental and physical illness,  Other co-morbidities, and 
 Living/environmental conditions.", ,,"Search term > mental (Weight: 0)
Search term > mental health  (Weight: 0)
Risk factors > Pre-existing mental illness (Weight: 0)
Mental Health Interventions or Plans (Weight: 0)
Mental Health Interventions or Plans > Healthcare Sector (Weight: 0)"
WPRO,Australia. South Australia. Health-Extreme-Heat-Heatwave-Strategy-2023 [updated from version on GHHIN website],Search term > mental,mental, ,,"Risk factors > Pre-existing mental illness (Weight: 0)
Risk factors > Medications (Weight: 0)
Mental Health Interventions or Plans (Weight: 0)
Mental Health Interventions or Plans > Healthcare Sector (Weight: 0)"
WPRO,Australia. South Australia. Health-Extreme-Heat-Heatwave-Strategy-2023 [updated from version on GHHIN website],Search term > mental health ,mental health s, ,,"Risk factors > Pre-existing mental illness (Weight: 0)
Risk factors > Medications (Weight: 0)
Mental Health Interventions or Plans (Weight: 0)
Mental Health Interventions or Plans > Healthcare Sector (Weight: 0)"
WPRO,Australia. South Australia. Health-Extreme-Heat-Heatwave-Strategy-2023 [updated from version on GHHIN website],Search term > mental,mental, ,,"Risk factors > Pre-existing mental illness (Weight: 0)
Risk factors > Medications (Weight: 0)
Mental Health Interventions or Plans (Weight: 0)
Mental Health Interventions or Plans > Healthcare Sector (Weight: 0)"
WPRO,Australia. South Australia. Health-Extreme-Heat-Heatwave-Strategy-2023 [updated from version on GHHIN website],Search term > mental health ,Mental Health, ,,"Mental Health Interventions or Plans (Weight: 0)
Mental Health Interventions or Plans > Healthcare Sector (Weight: 0)"
WPRO,Australia. South Australia. Health-Extreme-Heat-Heatwave-Strategy-2023 [updated from version on GHHIN website],Search term > mental health ,mental health, ,,"Mental Health Interventions or Plans (Weight: 0)
Mental Health Interventions or Plans > Healthcare Sector (Weight: 0)"
WPRO,Australia. South Australia. Health-Extreme-Heat-Heatwave-Strategy-2023 [updated from version on GHHIN website],Search term > mental health ,mental health, ,,"Mental Health Interventions or Plans (Weight: 0)
Mental Health Interventions or Plans > Healthcare Sector (Weight: 0)"
WPRO,Australia. South Australia. Health-Extreme-Heat-Heatwave-Strategy-2023 [updated from version on GHHIN website],Search term > distress,mental health distress, ,,"Search term > mental health  (Weight: 0)
Mental Health Interventions or Plans (Weight: 0)
Mental Health Interventions or Plans > Healthcare Sector (Weight: 0)"
WPRO,Australia. South Australia. Health-Extreme-Heat-Heatwave-Strategy-2023 [updated from version on GHHIN website],Search term > mental health ,mental health distress, ,,"Search term > distress (Weight: 0)
Mental Health Interventions or Plans (Weight: 0)
Mental Health Interventions or Plans > Healthcare Sector (Weight: 0)"
WPRO,Australia. South Australia. Health-Extreme-Heat-Heatwave-Strategy-2023 [updated from version on GHHIN website],Search term > mental health ,mental health, ,,"Mental Health Interventions or Plans (Weight: 0)
Mental Health Interventions or Plans > Healthcare Sector (Weight: 0)"
WPRO,Australia. South Australia. Health-Extreme-Heat-Heatwave-Strategy-2023 [updated from version on GHHIN website],Search term > mental health ,Mental Health, ,,"Mental Health Interventions or Plans (Weight: 0)
Mental Health Interventions or Plans > Healthcare Sector (Weight: 0)"
WPRO,Australia. South Australia. Health-Extreme-Heat-Heatwave-Strategy-2023 [updated from version on GHHIN website],Search term > mental health ,mental health, ,,"Mental Health Interventions or Plans (Weight: 0)
Mental Health Interventions or Plans > Healthcare Sector (Weight: 0)"
WPRO,Australia. South Australia. Health-Extreme-Heat-Heatwave-Strategy-2023 [updated from version on GHHIN website],Search term > mental health ,mental health, ,,"Mental Health Interventions or Plans (Weight: 0)
Mental Health Interventions or Plans > Healthcare Sector (Weight: 0)"
WPRO,Australia. Victoria. 2009. Heatwave Planning Guide Development of heatwave plans in local councils in Victoria . 2009,Mental Health Outcomes ,"Summer is a time when many Victorians enjoy warm weather and outdoor activities. However, high temperatures can negatively impact the health and wellbeing of the community and vulnerable population groups such as older people, those with a disability or a pre-existing medical condition", ,,"Search term > wellbeing (Weight: 0)
Mental Health Outcomes  > Symptoms or other outcomes (Weight: 0)
Symptoms or other outcomes > General impacts on wellbeing (Weight: 0)
Vulnerable communities (Weight: 0)"
WPRO,Australia. Victoria. 2009. Heatwave Planning Guide Development of heatwave plans in local councils in Victoria . 2009,Mental Health Outcomes  > Symptoms or other outcomes,"Summer is a time when many Victorians enjoy warm weather and outdoor activities. However, high temperatures can negatively impact the health and wellbeing of the community and vulnerable population groups such as older people, those with a disability or a pre-existing medical condition", ,,"Search term > wellbeing (Weight: 0)
Mental Health Outcomes  (Weight: 0)
Symptoms or other outcomes > General impacts on wellbeing (Weight: 0)
Vulnerable communities (Weight: 0)"
WPRO,Australia. Victoria. 2009. Heatwave Planning Guide Development of heatwave plans in local councils in Victoria . 2009,Mental Health Outcomes  > Symptoms or other outcomes > General impacts on wellbeing,"Summer is a time when many Victorians enjoy warm weather and outdoor activities. However, high temperatures can negatively impact the health and wellbeing of the community and vulnerable population groups such as older people, those with a disability or a pre-existing medical condition", ,,"Search term > wellbeing (Weight: 0)
Mental Health Outcomes  (Weight: 0)
Mental Health Outcomes  > Symptoms or other outcomes (Weight: 0)
Vulnerable communities (Weight: 0)"
WPRO,Australia. Victoria. 2009. Heatwave Planning Guide Development of heatwave plans in local councils in Victoria . 2009,Vulnerable communities,"Summer is a time when many Victorians enjoy warm weather and outdoor activities. However, high temperatures can negatively impact the health and wellbeing of the community and vulnerable population groups such as older people, those with a disability or a pre-existing medical condition", ,,"Search term > wellbeing (Weight: 0)
Mental Health Outcomes  (Weight: 0)
Mental Health Outcomes  > Symptoms or other outcomes (Weight: 0)
Symptoms or other outcomes > General impacts on wellbeing (Weight: 0)"
WPRO,Australia. Victoria. 2009. Heatwave Planning Guide Development of heatwave plans in local councils in Victoria . 2009,Search term > wellbeing,wellbeing, ,,"Mental Health Outcomes  (Weight: 0)
Mental Health Outcomes  > Symptoms or other outcomes (Weight: 0)
Symptoms or other outcomes > General impacts on wellbeing (Weight: 0)
Vulnerable communities (Weight: 0)"
WPRO,Australia. Victoria. 2009. Heatwave Planning Guide Development of heatwave plans in local councils in Victoria . 2009,Search term > wellbeing,wellbeing, ,,
WPRO,Australia. Victoria. 2009. Heatwave Planning Guide Development of heatwave plans in local councils in Victoria . 2009,Search term > wellbeing,wellbeing, ,,
WPRO,Australia. Victoria. 2009. Heatwave Planning Guide Development of heatwave plans in local councils in Victoria . 2009,Vulnerable communities,"Vulnerable population groups 
Heatwaves are known to increase the incidence of illness and death, particularly among vulnerable population groups. 
Vulnerable population groups include people with the following characteristics: 
• older people (65 years and older) 
• children under five years old 
• pregnant or nursing mothers 
• people with a pre-existing medical condition, such as 
diabetes, heart disease, kidney disease or mental illness 
• people with a condition that impairs the body’s abilities to regulate its own temperature like Multiple Sclerosis 
• those living alone with little social contact 
• people taking certain medications, such as those for depression or insomnia 
• people with a disability", ,,"Search term > mental (Weight: 0)
Risk factors > Pre-existing mental illness (Weight: 0)"
WPRO,Australia. Victoria. 2009. Heatwave Planning Guide Development of heatwave plans in local councils in Victoria . 2009,Risk factors > Pre-existing mental illness,"people with a pre-existing medical condition, such as 
diabetes, heart disease, kidney disease or mental illness", ,,"Search term > mental (Weight: 0)
Vulnerable communities (Weight: 0)"
WPRO,Australia. Victoria. 2009. Heatwave Planning Guide Development of heatwave plans in local councils in Victoria . 2009,Search term > mental,mental, ,,"Risk factors > Pre-existing mental illness (Weight: 0)
Vulnerable communities (Weight: 0)"
WPRO,Australia. Victoria. 2009. Heatwave Planning Guide Development of heatwave plans in local councils in Victoria . 2009,Mental Health Outcomes ,"Heat stroke is a life-threatening emergency. It occurs when the body is unable to prevent its temperature rising rapidly. The symptoms may be the same as for heat exhaustion, but the skin may be dry with no sweating, and the person’s mental condition worsens. They may stagger, appear confused, have a fit or collapse and become unconscious.", ,,"Search term > mental (Weight: 0)
Mental Health Outcomes  > Symptoms or other outcomes (Weight: 0)
Symptoms or other outcomes > Altered mental status due to heat stroke (Weight: 0)"
